collection_time_utc,source_weather,source_air,source_city_selection,units_weather,country_code,country_name,country_capital,country_population,continent,city_name,city_name_ascii,city_population,population_rank_in_country,city_timezone_geonames,geonames_feature_code,city_dem,geonameid,geonames_modification_date,geo_lat,geo_lon,weather_id,weather_main,weather_description,weather_icon,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,visibility,wind_speed,wind_deg,wind_gust,clouds_all,rain_1h,rain_3h,snow_1h,snow_3h,timezone_shift_seconds,weather_time_unix,weather_time_utc,sunrise_unix,sunrise_utc,sunset_unix,sunset_utc,station_country,station_type,city_id_openweather,city_name_api,cod,wind_compass,is_daytime,temp_category,comfort_proxy,has_rain,has_snow,air_time_unix,air_time_utc,aqi,pm2_5,pm10,co,no,no2,o3,so2,nh3,aqi_label,pm25_category,weather_datetime_utc,air_datetime_utc,year,month,day,hour,day_of_week,is_weekend,season,temp_humidity_interaction,wind_pm25_interaction,pressure_temp_interaction,target_aqi_class,target_pm25,target_pm10
2026-04-24T07:06:06Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AD,Andorra,Andorra la Vella,77006,EU,Andorra la Vella,Andorra la Vella,20430,1,Europe/Andorra,PPLC,1037,3041563,2020-03-03,42.50779,1.52109,803,Clouds,broken clouds,04d,14.11,13.53,13.14,14.11,1020,75,1020,816,4676.0,0.45,242,1.34,69,0.0,0.0,0.0,0.0,7200,1777014366,2026-04-24T07:06:06Z,1777006737,2026-04-24T04:58:57Z,1777056292,2026-04-24T18:44:52Z,AD,stations,3041563,Andorra la Vella,200,WSW,1,mild,21.61,0,0,1777014366,2026-04-24T07:06:06Z,2,4.71,10.81,135.4,0.17,6.88,66.71,0.33,16.07,fair,low,2026-04-24T07:06:06Z,2026-04-24T07:06:06Z,2026,4,24,7,4,0,spring,1058.25,2.1195,14392.2,2,4.71,10.81
2026-04-24T07:06:06Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AD,Andorra,Andorra la Vella,77006,EU,les Escaldes,les Escaldes,15853,2,Europe/Andorra,PPLA,1033,3040051,2026-04-13,42.50729,1.53414,803,Clouds,broken clouds,04d,14.33,13.78,13.36,14.33,1020,75,1020,816,4676.0,0.45,242,1.34,69,0.0,0.0,0.0,0.0,7200,1777014366,2026-04-24T07:06:06Z,1777006734,2026-04-24T04:58:54Z,1777056289,2026-04-24T18:44:49Z,AD,stations,3040051,Escaldes-Engordany,200,WSW,1,mild,21.83,0,0,1777014366,2026-04-24T07:06:06Z,2,4.71,10.81,135.4,0.17,6.88,66.71,0.33,16.07,fair,low,2026-04-24T07:06:06Z,2026-04-24T07:06:06Z,2026,4,24,7,4,0,spring,1074.75,2.1195,14616.6,2,4.71,10.81
2026-04-24T07:06:07Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AE,United Arab Emirates,Abu Dhabi,9630959,AS,Dubai,Dubai,3790000,1,Asia/Dubai,PPLA,24,292223,2026-04-13,25.07725,55.30927,800,Clear,clear sky,01d,35.84,34.65,35.84,36.05,1009,24,1009,1006,10000.0,3.09,15,3.27,8,0.0,0.0,0.0,0.0,14400,1777014101,2026-04-24T07:01:41Z,1776995317,2026-04-24T01:48:37Z,1777041897,2026-04-24T14:44:57Z,AE,stations,292224,Dubai,200,NNE,1,hot,38.24,0,0,1777014367,2026-04-24T07:06:07Z,4,28.41,116.85,187.29,5.33,14.91,90.17,7.62,0.4,poor,high,2026-04-24T07:01:41Z,2026-04-24T07:06:07Z,2026,4,24,7,4,0,spring,860.1600000000001,87.7869,36162.560000000005,4,28.41,116.85
2026-04-24T07:06:07Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AE,United Arab Emirates,Abu Dhabi,9630959,AS,Abu Dhabi,Abu Dhabi,1807000,2,Asia/Dubai,PPLC,6,292968,2024-03-27,24.45118,54.39696,800,Clear,clear sky,01d,33.02,33.4,33.02,36.07,1010,38,1010,1010,10000.0,3.6,20,,0,0.0,0.0,0.0,0.0,14400,1777014367,2026-04-24T07:06:07Z,1776995578,2026-04-24T01:52:58Z,1777042074,2026-04-24T14:47:54Z,AE,stations,8056564,Al Amān,200,NNE,1,hot,36.82,0,0,1777014367,2026-04-24T07:06:07Z,3,18.07,97.68,113.88,0.13,0.73,109.45,1.0,0.06,moderate,moderate,2026-04-24T07:06:07Z,2026-04-24T07:06:07Z,2026,4,24,7,4,0,spring,1254.7600000000002,65.052,33350.200000000004,3,18.07,97.68
2026-04-24T07:06:07Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AE,United Arab Emirates,Abu Dhabi,9630959,AS,Sharjah,Sharjah,1800000,3,Asia/Dubai,PPLA,15,292672,2026-04-13,25.3342,55.41221,800,Clear,clear sky,01d,36.0,34.86,36.0,36.18,1010,24,1010,1007,10000.0,3.6,360,,0,0.0,0.0,0.0,0.0,14400,1777014367,2026-04-24T07:06:07Z,1776995274,2026-04-24T01:47:54Z,1777041890,2026-04-24T14:44:50Z,AE,stations,292672,Sharjah city,200,N,1,hot,38.4,0,0,1777014367,2026-04-24T07:06:07Z,4,31.45,122.41,182.82,4.5,14.42,93.22,6.91,0.52,poor,high,2026-04-24T07:06:07Z,2026-04-24T07:06:07Z,2026,4,24,7,4,0,spring,864.0,113.22,36360.0,4,31.45,122.41
2026-04-24T07:06:07Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AF,Afghanistan,Kabul,37172386,AS,Kabul,Kabul,4434550,1,Asia/Kabul,PPLC,1798,1138958,2024-11-12,34.52813,69.17233,804,Clouds,overcast clouds,04d,20.79,19.97,20.79,20.79,1012,40,1012,809,10000.0,1.22,240,4.69,100,0.0,0.0,0.0,0.0,16200,1777014367,2026-04-24T07:06:07Z,1776991275,2026-04-24T00:41:15Z,1777039286,2026-04-24T14:01:26Z,AF,stations,1138958,Kabul,200,WSW,1,warm,24.79,0,0,1777014367,2026-04-24T07:06:07Z,2,6.63,10.83,428.16,0.39,1.62,73.51,0.24,2.23,fair,low,2026-04-24T07:06:07Z,2026-04-24T07:06:07Z,2026,4,24,7,4,0,spring,831.5999999999999,8.0886,21039.48,2,6.63,10.83
2026-04-24T07:06:07Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AF,Afghanistan,Kabul,37172386,AS,Herāt,Herat,574300,2,Asia/Kabul,PPLA,927,1140026,2026-04-13,34.34817,62.19967,800,Clear,clear sky,01d,28.16,26.85,28.16,28.16,1010,20,1010,910,10000.0,2.47,166,2.75,0,0.0,0.0,0.0,0.0,16200,1777014367,2026-04-24T07:06:07Z,1776992962,2026-04-24T01:09:22Z,1777040945,2026-04-24T14:29:05Z,AF,stations,1140026,Herat,200,SSE,1,warm,30.16,0,0,1777014367,2026-04-24T07:06:07Z,2,4.33,18.6,109.02,0.03,0.14,95.47,0.12,0.2,fair,low,2026-04-24T07:06:07Z,2026-04-24T07:06:07Z,2026,4,24,7,4,0,spring,563.2,10.695100000000002,28441.6,2,4.33,18.6
2026-04-24T07:06:07Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AF,Afghanistan,Kabul,37172386,AS,Mazār-e Sharīf,Mazar-e Sharif,523300,3,Asia/Kabul,PPLA,361,1133616,2026-04-13,36.70904,67.11087,804,Clouds,overcast clouds,04d,28.07,27.66,28.07,28.07,1010,39,1010,952,10000.0,4.43,61,4.48,100,0.0,0.0,0.0,0.0,16200,1777014217,2026-04-24T07:03:37Z,1776991580,2026-04-24T00:46:20Z,1777039970,2026-04-24T14:12:50Z,AF,stations,1133616,Mazari Sharif,200,ENE,1,warm,31.97,0,0,1777014367,2026-04-24T07:06:07Z,2,1.59,4.26,93.22,0.01,0.08,82.38,0.1,0.24,fair,low,2026-04-24T07:03:37Z,2026-04-24T07:06:07Z,2026,4,24,7,4,0,spring,1094.73,7.0437,28350.7,2,1.59,4.26
2026-04-24T07:06:08Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AG,Antigua and Barbuda,St. John's,96286,,Saint John’s,Saint John's,51737,1,America/Antigua,PPLC,12,3576022,2026-02-02,17.12096,-61.84329,500,Rain,light rain,10n,23.43,24.05,23.43,23.92,1012,85,1012,1011,10000.0,2.06,90,,40,0.26,0.0,0.0,0.0,-14400,1777014368,2026-04-24T07:06:08Z,1777023935,2026-04-24T09:45:35Z,1777069505,2026-04-24T22:25:05Z,AG,stations,3576022,St John's,200,E,0,warm,31.93,1,0,1777014368,2026-04-24T07:06:08Z,1,1.8,3.79,112.32,0.0,1.33,50.56,1.09,0.0,good,low,2026-04-24T07:06:08Z,2026-04-24T07:06:08Z,2026,4,24,7,4,0,spring,1991.55,3.708,23711.16,1,1.8,3.79
2026-04-24T07:06:08Z,OpenWeather,OpenWeather,GeoNames cities15000 + countryInfo,metric,AL,Albania,Tirana,2866376,EU,Tirana,Tirana,418495,1,Europe/Tirane,PPLC,113,3183875,2025-06-12,41.32744,19.81866,800,Clear,clear sky,01d,12.51,11.23,12.51,12.51,1016,54,1016,979,10000.0,0.51,0,,0,0.0,0.0,0.0,0.0,7200,1777014368,2026-04-24T07:06:08Z,1777002475,2026-04-24T03:47:55Z,1777051772,2026-04-24T17:29:32Z,AL,stations,3183875,Tirana,200,N,1,mild,17.91,0,0,1777014368,2026-04-24T07:06:08Z,2,3.74,5.83,137.16,0.4,2.41,97.62,1.79,3.59,fair,low,2026-04-24T07:06:08Z,2026-04-24T07:06:08Z,2026,4,24,7,4,0,spring,675.54,1.9074,12710.16,2,3.74,5.83
